time,left,right,center
1740729513.9371765,0,1,0
1740729514.0021896,0,1,0
1740729514.0646434,0,0,1
1740729514.1258926,0,0,1
1740729514.1905582,0,0,1
1740729514.2521174,0,0,1
1740729514.3136954,0,0,1
1740729514.3733783,0,0,1
1740729514.4363859,0,0,1
1740729514.4988952,0,0,1
1740729514.5631814,0,0,1
1740729514.6270673,0,0,1
1740729514.687665,0,0,1
1740729514.7505462,0,0,1
1740729514.812851,0,0,1
1740729514.8735492,0,0,1
1740729514.937082,0,0,1
1740729514.9992263,0,0,1
1740729515.063694,0,0,1
1740729515.133974,0,0,1
1740729515.2025595,0,0,1
1740729515.2656193,0,0,1
1740729515.3277118,0,0,1
1740729515.3916187,0,0,1
1740729515.453162,0,0,1
1740729515.5132637,0,0,1
1740729515.5764534,0,0,1
1740729515.6381395,0,0,1
1740729515.6992483,0,0,1
1740729515.7632868,0,0,1
1740729515.8239696,0,0,1
1740729515.8902886,0,0,1
1740729515.950683,0,0,1
1740729516.0210094,0,0,1
1740729516.0835187,0,0,1
1740729516.1434388,0,0,1
1740729516.2072816,0,0,1
1740729516.271997,0,0,1
1740729516.3349047,0,0,1
1740729516.3958812,0,0,1
1740729516.4604309,0,0,1
1740729516.519922,0,0,1
1740729516.5865953,0,0,1
1740729516.6554933,0,0,1
1740729516.718936,0,0,1
1740729516.7809215,0,0,1
1740729516.845442,0,0,1
1740729516.9080856,0,0,1
1740729516.9674323,0,0,1
1740729517.031186,0,0,1
1740729517.09434,0,0,1
1740729517.154714,0,0,1
1740729517.2175155,0,0,1
1740729517.2775133,0,0,1
1740729517.337703,0,0,1
1740729517.4024465,0,0,1
1740729517.4624183,0,0,1
1740729517.525177,0,0,1
1740729517.5898101,0,0,1
1740729517.654345,0,0,1
1740729517.7141845,0,0,1
1740729517.7754946,0,0,1
1740729517.8390467,0,0,1
1740729517.9022744,0,0,1
1740729517.9628296,0,0,1
1740729518.0246143,0,0,1
1740729518.085609,0,0,1
1740729518.145199,0,0,1
1740729518.2066934,0,0,1
1740729518.270695,0,0,1
1740729518.3340154,0,0,1
1740729518.3971112,0,0,1
1740729518.4569833,0,0,1
1740729518.5210538,0,0,1
1740729518.582865,0,0,1
1740729518.6460762,0,0,1
1740729518.707389,0,0,1
1740729518.7707107,0,0,1
1740729518.8333974,0,0,1
1740729518.8958004,0,0,1
1740729518.956527,0,0,1
1740729519.0212207,0,0,1
1740729519.0865285,0,0,1
1740729519.1472986,0,0,1
1740729519.2096572,0,0,1
1740729519.2600422,0,0,1
1740729519.3188045,0,0,1
1740729519.3799243,0,1,0
1740729519.4442792,0,1,0
1740729519.5067785,0,1,0
1740729519.5726564,0,1,0
1740729519.633617,0,0,1
1740729519.693249,0,0,1
1740729519.756997,0,0,1
1740729519.8097134,0,0,1
1740729519.8659627,0,0,1
1740729519.9272826,0,0,1
1740729519.9903545,0,0,1
1740729520.051103,0,0,1
1740729520.118451,0,0,1
1740729520.1892762,0,0,1
1740729520.251688,0,0,1
1740729520.3133323,0,0,1
1740729520.3741086,0,0,1
1740729520.4395142,0,0,1
1740729520.5016289,0,0,1
1740729520.5621638,0,0,1
1740729520.6262667,0,0,1
1740729520.6882248,0,0,1
1740729520.7516468,0,0,1
1740729520.8135931,0,0,1
1740729520.8751404,0,0,1
1740729520.9372578,0,0,1
1740729520.9995708,0,0,1
1740729521.0634449,0,0,1
1740729521.125298,0,0,1
1740729521.188708,0,0,1
1740729521.2500644,0,0,1
1740729521.317526,0,0,1
1740729521.3785124,0,0,1
1740729521.4457037,0,0,1
1740729521.5069118,0,0,1
1740729521.5668795,0,0,1
1740729521.6285357,0,1,0
1740729521.6888394,0,1,0
1740729521.7502387,0,1,0
1740729521.8098557,0,1,0
1740729521.869567,0,1,0
1740729521.9340105,0,1,0
1740729521.9852827,0,1,0
1740729522.0457892,0,1,0
1740729522.0913723,0,1,0
1740729522.1360583,0,1,0
1740729522.1869094,0,1,0
1740729522.2458835,0,1,0
1740729522.2943127,0,1,0
1740729522.337454,0,1,0
1740729522.3951683,0,1,0
1740729522.4588814,0,0,1
1740729522.5107408,0,0,1
1740729522.5582957,0,0,1
1740729522.6061258,0,0,1
1740729522.6656847,0,0,1
1740729522.7123086,0,0,1
1740729522.7608893,0,0,1
1740729522.8077247,0,0,1
1740729522.8708286,0,0,1
1740729522.9277194,0,0,1
1740729522.9752462,0,0,1
1740729523.021748,0,0,1
1740729523.0652213,0,1,0
1740729523.1119478,0,1,0
1740729523.1678517,0,1,0
1740729523.2220876,0,1,0
1740729523.266725,0,1,0
1740729523.3148057,0,1,0
1740729523.3614125,0,1,0
1740729523.4061468,0,0,1
1740729523.452388,0,0,1
1740729523.4998977,0,0,1
1740729523.5462198,0,0,1
1740729523.600005,0,0,1
1740729523.6469154,0,0,1
1740729523.6953628,0,0,1
1740729523.741038,0,0,1
1740729523.7876747,0,0,1
1740729523.8345096,0,0,1
1740729523.8814414,0,0,1
1740729523.9285016,0,0,1
1740729523.9755673,0,0,1
1740729524.02108,0,0,1
1740729524.0653696,0,0,1
1740729524.111754,0,0,1
1740729524.1692712,0,0,1
1740729524.222863,0,1,0
1740729524.2675786,0,1,0
1740729524.315715,0,1,0
1740729524.3646572,0,1,0
1740729524.4252412,0,0,1
1740729524.4892545,0,0,1
1740729524.5479922,0,0,1
1740729524.597379,0,0,1
1740729524.6453998,0,0,1
1740729524.7015915,0,0,1
1740729524.7487507,0,0,1
1740729524.796558,0,0,1
1740729524.8444557,0,0,1
1740729524.9031656,0,0,1
1740729524.9608152,0,0,1
1740729525.0156941,0,0,1
1740729525.06597,0,0,1
1740729525.1191003,0,0,1
1740729525.1914227,0,0,1
1740729525.2590253,0,0,1
1740729525.3066912,0,0,1
1740729525.365793,0,0,1
1740729525.4296715,0,0,1
